respondent_id,synced_at,bu,survey_type,subholding,location,region,facility_type,facility_id,overall_score,overall_group,people_score,process_score,premises_score,nps_score,feedback,tags,sentiment,channel,language
2d6f58d3-3dc2-4837-a170-e1e382809f4b,2025-11-14 23:20:51,API,Baggage Claim,API dan IAS,DPS,2,BAGGAGE CLAIM DOMESTIK/ BELT 4,DPS-BC.DOM-4,3,Neutral,4,3,4,,"Area Baggage Claim berbau tidak sedap, seperti bau WC kotor",Cleanliness and Maintenance of Baggage Area,Negative,,Bahasa
e0074da3-0154-434d-8c5d-53d3a629ffe3,2025-11-13 01:09:51,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,1,Dissatisfied,1,1,1,,jk,Overall Satisfaction and Service Quality,Neutral,,English
69edc0a2-29a4-4669-b2a0-bf4aca3bf4fa,2025-11-11 20:47:15,API,Baggage Claim,API dan IAS,SUB,4,"T2,INTERNASIONAL",SUB-BAGGA-T2-INTERNASIONAL,1,Dissatisfied,3,2,4,,Sangat lama,Baggage Claim Wait Time and Delays,Negative,,Bahasa
6a4b6a97-5fe5-4514-8979-a1b143cb8543,2025-11-11 20:46:30,API,Baggage Claim,API dan IAS,SUB,4,"T2,INTERNASIONAL",SUB-BAGGA-T2-INTERNASIONAL,2,Dissatisfied,3,3,3,,Mengeluarkan bagasi terlalu lama,Baggage Claim Wait Time and Delays,Negative,,Bahasa
9a405b5f-7e29-4e1e-987e-2412b4704a8b,2025-11-11 17:49:27,API,Baggage Claim,API dan IAS,DPS,2,BAGGAGE CLAIM INTERNASIONAL/ BELT 6,DPS-BC.INT.6,1,Dissatisfied,1,1,1,,"Sangat lama 2 jam koper belum datang juga, paraaaaaaaah!!! Busuuuuk",Baggage Claim Wait Time and Delays,Negative,,Bahasa
6901f6b8-ed6a-4f1b-93e7-5949ecf728fd,2025-11-11 16:53:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Mantap,Overall Satisfaction and Service Quality,Positive,,Bahasa
40c1c784-d8dc-4f8b-89cf-d3b8d3eef896,2025-11-11 03:39:23,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,5,5,5,,tidak ada saran,Overall Satisfaction and Service Quality,Neutral,,Bahasa
525c00c2-ea36-439c-9b51-de42b2da8c4e,2025-11-10 08:39:59,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,5,Satisfied,5,4,3,,Pelayanannya ramah,Customer Service and Staff Behavior,Positive,,Bahasa
1e795bb6-6c9f-47e9-9ee2-846eaf01c264,2025-11-08 12:26:12,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Good,Overall Satisfaction and Service Quality,Positive,,English
257c516d-649e-465a-8ee9-b0a05ad3c51c,2025-11-07 19:08:32,API,Baggage Claim,API dan IAS,DPS,2,BAGGAGE CLAIM INTERNASIONAL/ BELT 3,DPS-BC.INT-3,5,Satisfied,5,5,5,,,,,,English
a32578a1-b47b-4496-b7de-b0a97b2c1386,2025-11-06 16:27:09,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,no others,Overall Satisfaction and Service Quality,Neutral,,English
95a02957-a615-4ff6-8f1f-175424d3986c,2025-11-04 14:29:52,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2,Dissatisfied,5,2,3,,VJ 855 asal Ho Chi Minh Landed CGK : 12.50 Keluar dari imigrasi T2 : 13.20 Bagasi baru keluar jam : 13.45  Nunggu bagasinya lamaa. Banyak passenger lain baik WNI maupun WNA juga mengeluhkan hal yang sama.,Baggage Claim Wait Time and Delays,Negative,,Bahasa
af2e2ed1-7d7e-41dc-af9d-a2ab98a12649,2025-11-03 18:47:53,API,Baggage Claim,API dan IAS,SUB,4,"T1,GA,QG,IP GROUP","SUB-BAGGA-T1-GA,QG,IP GROUP",1,Dissatisfied,5,4,1,,"Belt nya pendek sekali jadi kek semut ngerubung kue , penunjuk arahnya kurang jelas membingungkan",Signage and Directional Clarity,Negative,,English
b0425a84-3909-4802-b4a1-be90bbfe138f,2025-11-02 21:39:35,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,2,,,,,,English
5ae8862a-d7fc-4f2e-b6c1-6ef4c57c01c0,2025-11-02 19:49:58,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,-,,Neutral,,Bahasa
56c51e4c-222c-4173-bf8e-35c077dfa7cf,2025-11-01 15:20:58,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
19832a97-1dc0-47be-ad98-9c24a49270d6,2025-11-01 15:16:30,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
8e8da1ab-ad15-45ed-9e16-cad7535b0177,2025-11-01 15:15:32,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,bagus dan nyaman,Overall Satisfaction and Service Quality,Positive,,Bahasa
3348915a-7c04-4acb-9fbb-eb76a79ec38a,2025-11-01 15:15:29,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
86d6abaf-5f76-4640-a22a-0be289185c29,2025-11-01 15:11:41,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,4,4,4,,bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
c44720d5-7d1d-4c2f-b539-0a34f22d4ee2,2025-11-01 15:10:09,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,4,4,4,,Bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
1351ac03-65da-4189-bd97-0180a75c754c,2025-11-01 13:46:31,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,good,Overall Satisfaction and Service Quality,Positive,,English
f011984f-fc6a-4c51-9e0c-35212f277196,2025-11-01 12:09:45,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,5,5,5,,Good,Overall Satisfaction and Service Quality,Positive,,English
4f5cd65b-0084-43e3-ad4e-f62a6a122d48,2025-10-31 18:16:05,API,Baggage Claim,API dan IAS,SUB,4,"T1,GA,QG,IP GROUP","SUB-BAGGA-T1-GA,QG,IP GROUP",1,Dissatisfied,5,1,1,,"Saat arrival tidak tersedia trolly, sangat menyusahkan","Facilities and Amenities (Toilets, Seating, Lighting)",Negative,,Bahasa
1a2f1bfb-3ac0-4135-ac1c-0cf7a4b04013,2025-10-30 20:39:39,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,3,3,3,,Biasa aja,Overall Satisfaction and Service Quality,Neutral,,Bahasa
0d9c004f-33a3-4e2c-b166-2c3d1aa22aae,2025-10-29 16:30:04,API,Baggage Claim,API dan IAS,UPG,5,BAGGAGE CLAIM DOMESTIK,UPG-BAGGAGECLAIMDOM,5,Satisfied,5,5,5,,Bandaranya sudah rapi dan bersih. Semoga kedepan Bandara Sultan Hasanuddin makin maju.. Ewako..,"Facilities and Amenities (Toilets, Seating, Lighting)",Positive,,Bahasa
c10a907d-7531-4d84-8d69-0fe71a2036a0,2025-10-29 15:33:31,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,4,5,5,,,,,,English
a5e4845d-cf51-42de-b306-5e8a73939fc9,2025-10-28 19:03:04,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,English
80450e82-1422-4ab4-9116-bcce128e2568,2025-10-27 13:23:31,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2,Dissatisfied,3,4,4,,Waktu menunggu bagasi bisa lebih dari 30 menit di saat ramai,Baggage Claim Wait Time and Delays,Negative,,Bahasa
b19ac280-f0f0-4246-ad84-a9d21c5d71b5,2025-10-25 19:17:46,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Sangat dan tepat waktu,Overall Satisfaction and Service Quality,Positive,,Bahasa
8a188315-6427-422a-acb9-1106d8a8d83a,2025-10-25 00:42:38,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,5,5,5,,Good,Overall Satisfaction and Service Quality,Positive,,English
a4bf311d-cb25-4850-aac3-3aee49551e5a,2025-10-24 22:50:29,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,4,4,4,,Ok lah,Overall Satisfaction and Service Quality,Neutral,,Bahasa
2647d713-13e1-46c7-baf1-7de1e9cfec08,2025-10-24 00:26:39,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
0b5ff2e3-65a6-46d2-96ba-47abf5911883,2025-10-23 18:04:12,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,English
8785d0b9-b009-4f85-ac06-572210857f96,2025-10-22 00:04:58,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,Bahasa
dc1f2cda-5b5d-4af1-a831-a886523f915e,2025-10-21 19:04:56,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Sangat bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
1e96afc4-4555-4426-830a-62c65319abd5,2025-10-21 17:24:45,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,English
f60178e0-e493-4c39-b53f-fad93609c96b,2025-10-21 11:36:17,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2E,API-BAGGAGE CLAIM-CGK T2-HCO E,5,Satisfied,5,3,4,,Semoga koper di kasih wadah seperti di luar negri,Suggestions for Facility Improvements,Positive,,Bahasa
0fda1bbc-ad74-4b17-8d2c-e15697b7fcfa,2025-09-03 23:15:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2D,API-BAGGAGE CLAIM-CGK T2-HCO D,4,Satisfied,,,4,,Lebih banyak informasi digital,"Facilities and Amenities (Toilets, Seating, Lighting)",Neutral,,
c9acff4a-944e-45ab-9993-0c9f98d7fd24,2025-09-03 23:58:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2D,API-BAGGAGE CLAIM-CGK T2-HCO D,5,Satisfied,5,,,,Barang bagus tapi sudah kuno,"Facilities and Amenities (Toilets, Seating, Lighting)",Negative,,
1ef2e8d7-20b0-4612-8641-1708394a24db,2025-09-04 09:26:00,API,Baggage Claim,API dan IAS,CGK T1,1,BAGGAGE CLAIM T1A,A.HCO,5,Satisfied,,,5,,,,,,
b868421e-c4ad-405b-bbff-d5a2a504c823,2025-09-04 09:26:00,API,Baggage Claim,API dan IAS,CGK T1,1,BAGGAGE CLAIM T1A,A.HCO,5,Satisfied,,5,,,,,,,
28481c94-dd76-440f-93ee-7caa09ff72ce,2025-09-04 09:31:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2D,API-BAGGAGE CLAIM-CGK T2-HCO D,1,Dissatisfied,1,,,,,,,,
79d30316-fd36-4e78-bea7-9607897a88a1,2025-09-04 13:05:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2D,API-BAGGAGE CLAIM-CGK T2-HCO D,5,Satisfied,,,5,,trolley cuckup,Availability and Quality of Trolleys,Neutral,,
647aac28-eec5-45a1-abdf-1303483189bf,2025-09-04 14:34:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2E,API-BAGGAGE CLAIM-CGK T2-HCO E,4,Satisfied,,,4,,AC sudah dingin tp blm konsisten,"Facilities and Amenities (Toilets, Seating, Lighting)",Neutral,,
62a60016-7ab6-4ce4-af2d-a9477bd27066,2025-09-04 14:40:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,5,,,,,,,
777f41d5-f207-4dbc-ac69-61264821b8de,2025-09-04 23:47:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,5,Satisfied,5,,,,very good,Overall Satisfaction and Service Quality,Positive,,
5749cef1-b584-4829-887d-c481d74241f3,2025-09-05 08:23:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,,5,,Ok,Overall Satisfaction and Service Quality,Positive,,
f1d32eaf-e5df-4d32-8ff8-67e6d091a044,2025-09-05 08:55:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,5,Satisfied,5,5,,,"Tidak tersedia toilet, padahal toilet salah satu fasilitas yang sangat penting","Facilities and Amenities (Toilets, Seating, Lighting)",Negative,,
acf77c6f-0670-4187-bc6b-a5320b8a92d3,2025-09-06 10:24:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,4,Satisfied,,,4,,cepat,Overall Satisfaction and Service Quality,Positive,,
a3c8eaca-7438-424c-bee1-f94c1c58c62a,2025-09-06 11:41:00,API,Baggage Claim,API dan IAS,CGK T1,1,BAGGAGE CLAIM T1A,A.HCO,4,Satisfied,,,4,,Bagus,Overall Satisfaction and Service Quality,Positive,,
0bc736a0-6ce7-4fb1-a0fd-492875a998fe,2025-09-08 00:22:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,1,Dissatisfied,1,,,,,,,,
83d7e13a-ab9e-480f-810c-e811e508d9f7,2025-09-09 20:23:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,
428ac6d8-339e-48b1-b6ad-f232921b6ae5,2025-09-10 01:10:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,5,,,Sangat baik,Overall Satisfaction and Service Quality,Positive,,
dac99f33-77b0-46c5-be35-a214000aceb5,2025-09-10 01:10:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,
42889e78-fc49-4685-a43f-4cb9000b0c79,2025-09-10 01:10:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,1,Dissatisfied,1,1,1,,Bagus,Overall Satisfaction and Service Quality,Positive,,
9bf89956-2a37-4118-a736-a52848800ef0,2025-09-12 20:21:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,5,,,lanenya toling dibuat lebih friendly agak tidak ada yg menumpuk,Suggestions for Facility Improvements,Negative,,
fd89488d-5093-468a-af35-2fb19f5cfd58,2025-09-15 13:21:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,,,,Yes,Overall Satisfaction and Service Quality,Positive,,
27e3d11e-c8cc-489c-943f-353e7ea53718,2025-09-17 10:57:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,5,Satisfied,5,,5,,Penerangan area baggage claim domestik terminal 3 bagi saya terlalu remang,"Facilities and Amenities (Toilets, Seating, Lighting)",Negative,,
4770c1c6-bbea-43f7-be27-a29b96c125f5,2025-09-17 14:11:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,,,,,,,,
0276dafd-77b3-442d-bc7f-343ac717ffaa,2025-09-17 14:18:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,3,Neutral,,,3,,,,,,
de7ca6fa-5f02-4b1e-8921-caf23e27aefb,2025-09-17 16:29:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,
1bec3339-f99f-49ce-acca-f3483c469a4d,2025-09-17 17:03:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,,5,,OK,Overall Satisfaction and Service Quality,Positive,,
346569ed-cb8b-4061-9f09-634b1fd052ce,2025-09-17 17:08:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,,5,,Ok bagus,Overall Satisfaction and Service Quality,Positive,,
edaf2356-9740-4b7c-8fff-a6a0888de08a,2025-09-21 08:16:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,5,Satisfied,5,,,,Sudah cukup baik,Overall Satisfaction and Service Quality,Positive,,
939ff1ac-3355-4df2-8a26-5a144837e110,2025-09-25 22:12:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,5,Satisfied,5,,,,-,,Neutral,,
81e3ea7d-9e2e-49cc-9428-51908e99ca7c,2025-09-27 01:03:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,5,Satisfied,5,,,,Sangat baik petugas nya,Customer Service and Staff Behavior,Positive,,
0c0625ec-ea51-4667-b63a-6c18bccbc80d,2025-09-27 19:07:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,3,Neutral,,3,,,Proses nya dipercepat,Suggestions for Facility Improvements,Negative,,
232025a4-447e-4e6b-bb86-88498f74dc99,2025-09-28 00:06:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,3,Neutral,,3,,,Yg,,Neutral,,
74d7c98c-df0d-4509-8142-d561d32d4ebe,2025-09-28 23:09:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,3,Neutral,,3,,,Bagasi acak²an,Baggage Handling Efficiency and Speed,Negative,,
ebbc9986-6678-4fbe-bf41-0755fcb06af8,2025-10-05 19:44:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,,,,,
12895a83-69dd-4a01-8053-0afef421a63e,2025-10-05 19:47:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Tetap dan selalu memberikan pelayanan yg terbaik. Terima kasih,Customer Service and Staff Behavior,Positive,,
3a5961cc-b088-473f-992d-27f0525d320f,2025-10-11 14:26:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,,,,Good,Overall Satisfaction and Service Quality,Positive,,
c59a0fb6-46b0-41ec-a2e7-1cef511b1cee,2025-10-11 16:55:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,3,Neutral,,3,,,Roda luggage rusak,Baggage Security and Damage Concerns,Negative,,
486f15b8-eb5c-4d74-b717-c80e8df66b43,2025-10-11 23:44:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,,5,,,,,,
c247b223-2d37-4927-bcbe-a57686cd0f71,2025-10-14 13:24:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,4,Satisfied,,,4,,Sangat puas pelayanannya,Overall Satisfaction and Service Quality,Positive,,
7eb76281-8d40-4e10-aaee-eb1bf429c46d,2025-10-15 05:32:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,,,,,,,,
68e10cc1-b127-4368-ae7d-71568a6821d4,2025-10-17 00:35:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,,,5,,Sangngat memuaskan,Overall Satisfaction and Service Quality,Positive,,
f86c1a81-d8bb-44c9-817d-afa9d3929014,2025-10-17 18:54:00,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,,,,很好,Overall Satisfaction and Service Quality,Positive,,
62d1f376-b4fa-40c1-ba6e-fdfee6183711,2025-10-18 20:13:00,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,3,Neutral,,3,,,"Kenapa selalu lama menunggu bagasi yang tiba di CGK, padahal pas tiba di luar negeri itu waktu nunggunya hanya 5-10 menit",Baggage Claim Wait Time and Delays,Negative,,
