"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan Baggage Claim  kami?","Silakan berikan saran dan masukan Anda terkait Baggage Claim kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Baggage Claim kami","Fasilitas Baggage Claim (Convetor Belt, Troli, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Baggage Claim kami","Alur & Pengelolaan Baggage Claim-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Baggage Claim kami","Respondent Id"
"27","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Good","5","5","5","1e795bb6-6c9f-47e9-9ee2-846eaf01c264"
"28","API dan IAS","DPS","2","BAGGAGE CLAIM INTERNASIONAL/ BELT 3","DPS-BC.INT-3","5",,"5","5","5","257c516d-649e-465a-8ee9-b0a05ad3c51c"
"29","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","no others","5","5","5","a32578a1-b47b-4496-b7de-b0a97b2c1386"
"30","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","2","VJ 855 asal Ho Chi Minh
Landed CGK : 12.50
Keluar dari imigrasi T2 : 13.20
Bagasi baru keluar jam : 13.45

Nunggu bagasinya lamaa. Banyak passenger lain baik WNI maupun WNA juga mengeluhkan hal yang sama.","5","3","2","95a02957-a615-4ff6-8f1f-175424d3986c"
"31","API dan IAS","SUB","4","T1,GA,QG,IP GROUP","SUB-BAGGA-T1-GA,QG,IP GROUP","1","Belt nya pendek sekali jadi kek semut ngerubung kue , penunjuk arahnya kurang jelas membingungkan","5","1","4","af2e2ed1-7d7e-41dc-af9d-a2ab98a12649"
"32","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","2","5","b0425a84-3909-4802-b4a1-be90bbfe138f"
"33","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","-","5","5","5","5ae8862a-d7fc-4f2e-b6c1-6ef4c57c01c0"
"34","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Bagus","5","5","5","56c51e4c-222c-4173-bf8e-35c077dfa7cf"
"35","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Bagus","5","5","5","19832a97-1dc0-47be-ad98-9c24a49270d6"
"36","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","bagus dan nyaman","5","5","5","8e8da1ab-ad15-45ed-9e16-cad7535b0177"
"37","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Bagus","5","5","5","3348915a-7c04-4acb-9fbb-eb76a79ec38a"
"38","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","bagus","4","4","4","86d6abaf-5f76-4640-a22a-0be289185c29"
"39","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Bagus","4","4","4","c44720d5-7d1d-4c2f-b539-0a34f22d4ee2"
"40","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","good","5","5","5","1351ac03-65da-4189-bd97-0180a75c754c"
"41","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","Good","5","5","5","f011984f-fc6a-4c51-9e0c-35212f277196"
"42","API dan IAS","SUB","4","T1,GA,QG,IP GROUP","SUB-BAGGA-T1-GA,QG,IP GROUP","1","Saat arrival tidak tersedia trolly, sangat menyusahkan","5","1","1","4f5cd65b-0084-43e3-ad4e-f62a6a122d48"
"43","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Biasa aja","3","3","3","1a2f1bfb-3ac0-4135-ac1c-0cf7a4b04013"
"44","API dan IAS","UPG","5","BAGGAGE CLAIM DOMESTIK","UPG-BAGGAGECLAIMDOM","5","Bandaranya sudah rapi dan bersih. Semoga kedepan Bandara Sultan Hasanuddin makin maju.. Ewako..","5","5","5","0d9c004f-33a3-4e2c-b166-2c3d1aa22aae"
"45","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4",,"4","5","5","c10a907d-7531-4d84-8d69-0fe71a2036a0"
"46","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","a5e4845d-cf51-42de-b306-5e8a73939fc9"
"47","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","2","Waktu menunggu bagasi bisa lebih dari 30 menit di saat ramai","3","4","4","80450e82-1422-4ab4-9116-bcce128e2568"
"48","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Sangat dan tepat waktu","5","5","5","b19ac280-f0f0-4246-ad84-a9d21c5d71b5"
"49","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","Good","5","5","5","8a188315-6427-422a-acb9-1106d8a8d83a"
"50","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","Ok lah","4","4","4","a4bf311d-cb25-4850-aac3-3aee49551e5a"
"51","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","bagus","5","5","5","2647d713-13e1-46c7-baf1-7de1e9cfec08"
"52","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","0b5ff2e3-65a6-46d2-96ba-47abf5911883"
"53","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","8785d0b9-b009-4f85-ac06-572210857f96"
"54","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Sangat bagus","5","5","5","dc1f2cda-5b5d-4af1-a831-a886523f915e"
"55","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","1e96afc4-4555-4426-830a-62c65319abd5"
"56","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2E","API-BAGGAGE CLAIM-CGK T2-HCO E","5","Semoga koper di kasih wadah seperti di luar negri","5","4","3","f60178e0-e493-4c39-b53f-fad93609c96b"
"57","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2D","API-BAGGAGE CLAIM-CGK T2-HCO D","4","Lebih banyak informasi digital",,"4",,"0fda1bbc-ad74-4b17-8d2c-e15697b7fcfa"
"58","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2D","API-BAGGAGE CLAIM-CGK T2-HCO D","5","Barang bagus tapi sudah kuno","5",,,"c9acff4a-944e-45ab-9993-0c9f98d7fd24"
"59","API dan IAS","CGK T1","1","BAGGAGE CLAIM T1A","A.HCO","5",,,"5",,"1ef2e8d7-20b0-4612-8641-1708394a24db"
"60","API dan IAS","CGK T1","1","BAGGAGE CLAIM T1A","A.HCO","5",,,,"5","b868421e-c4ad-405b-bbff-d5a2a504c823"
"61","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2D","API-BAGGAGE CLAIM-CGK T2-HCO D","1",,"1",,,"28481c94-dd76-440f-93ee-7caa09ff72ce"
"62","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2D","API-BAGGAGE CLAIM-CGK T2-HCO D","5","trolley cuckup",,"5",,"79d30316-fd36-4e78-bea7-9607897a88a1"
"63","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2E","API-BAGGAGE CLAIM-CGK T2-HCO E","4","AC sudah dingin tp blm konsisten",,"4",,"647aac28-eec5-45a1-abdf-1303483189bf"
"64","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,,,"5","62a60016-7ab6-4ce4-af2d-a9477bd27066"
"65","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","5","very good","5",,,"777f41d5-f207-4dbc-ac69-61264821b8de"
"66","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Ok",,"5",,"5749cef1-b584-4829-887d-c481d74241f3"
"67","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","5","Tidak tersedia toilet, padahal toilet salah satu fasilitas yang sangat penting","5",,"5","f1d32eaf-e5df-4d32-8ff8-67e6d091a044"
"68","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","4","cepat",,"4",,"acf77c6f-0670-4187-bc6b-a5320b8a92d3"
"69","API dan IAS","CGK T1","1","BAGGAGE CLAIM T1A","A.HCO","4","Bagus",,"4",,"a3c8eaca-7438-424c-bee1-f94c1c58c62a"
"70","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","1",,"1",,,"0bc736a0-6ce7-4fb1-a0fd-492875a998fe"
"71","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","83d7e13a-ab9e-480f-810c-e811e508d9f7"
"72","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Sangat baik",,,"5","428ac6d8-339e-48b1-b6ad-f232921b6ae5"
"73","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","dac99f33-77b0-46c5-be35-a214000aceb5"
"74","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","1","Bagus","1","1","1","42889e78-fc49-4685-a43f-4cb9000b0c79"
"75","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","lanenya toling dibuat lebih friendly agak tidak ada yg menumpuk",,,"5","9bf89956-2a37-4118-a736-a52848800ef0"
"76","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Yes","5",,,"fd89488d-5093-468a-af35-2fb19f5cfd58"
"77","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","5","Penerangan area baggage claim domestik terminal 3 bagi saya terlalu remang","5","5",,"27e3d11e-c8cc-489c-943f-353e7ea53718"
"78","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5",,,"4770c1c6-bbea-43f7-be27-a29b96c125f5"
"79","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","3",,,"3",,"0276dafd-77b3-442d-bc7f-343ac717ffaa"
"80","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","de7ca6fa-5f02-4b1e-8921-caf23e27aefb"
"81","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","OK",,"5",,"1bec3339-f99f-49ce-acca-f3483c469a4d"
"82","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Ok bagus",,"5",,"346569ed-cb8b-4061-9f09-634b1fd052ce"
"83","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","5","Sudah cukup baik","5",,,"edaf2356-9740-4b7c-8fff-a6a0888de08a"
"84","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","5","-","5",,,"939ff1ac-3355-4df2-8a26-5a144837e110"
"85","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","5","Sangat baik petugas nya","5",,,"81e3ea7d-9e2e-49cc-9428-51908e99ca7c"
"86","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","3","Proses nya dipercepat",,,"3","0c0625ec-ea51-4667-b63a-6c18bccbc80d"
"87","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","3","Yg",,,"3","232025a4-447e-4e6b-bb86-88498f74dc99"
"88","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","3","Bagasi acak²an",,,"3","74d7c98c-df0d-4509-8142-d561d32d4ebe"
"89","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","ebbc9986-6678-4fbe-bf41-0755fcb06af8"
"90","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Tetap dan selalu memberikan pelayanan yg terbaik. Terima kasih","5","5","5","12895a83-69dd-4a01-8053-0afef421a63e"
"91","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Good","5",,,"3a5961cc-b088-473f-992d-27f0525d320f"
"92","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","3","Roda luggage rusak",,,"3","c59a0fb6-46b0-41ec-a2e7-1cef511b1cee"
"93","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,,"5",,"486f15b8-eb5c-4d74-b717-c80e8df66b43"
"94","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","4","Sangat puas pelayanannya",,"4",,"c247b223-2d37-4927-bcbe-a57686cd0f71"
"95","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5",,,"7eb76281-8d40-4e10-aaee-eb1bf429c46d"
"96","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Sangngat memuaskan",,"5",,"68e10cc1-b127-4368-ae7d-71568a6821d4"
"97","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","很好","5",,,"f86c1a81-d8bb-44c9-817d-afa9d3929014"
"98","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","3","Kenapa selalu lama menunggu bagasi yang tiba di CGK, padahal pas tiba di luar negeri itu waktu nunggunya hanya 5-10 menit",,,"3","62d1f376-b4fa-40c1-ba6e-fdfee6183711"
"99","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","5",,"5","5","5","edc9b3ff-6976-4d1c-8f8c-47123680718e"
