sequence,bu,subholding,nama_lokasi,lokasi_detail,tipe_fasilitas,id_fasilitas,survey_date,respondent_id,survey_status,channel_type,response_time_sec,survey_mode,csat_label,csat_score,csat_group,nps_score,verbatim,verbatim_sentiment,source_file
1,Sarinah,SARINAH,THAMRIN,JAKARTA,AREA OFFICE,SARINAH-THAMRIN-LIFT 4 - OFFICE-01,2026-03-04,75b30bb5-8c0d-47d4-9783-f29532a6a0a8,Completed,,1064970,New,Not Satisfied,2,Dissatisfied,,"Berdasarkan pengalaman beberapa pegawai dapat kami sampaikan sebagai berikut:
1. Berdasarkan pengalaman Pegawai an. Ibu Yothya, lift yang kerap melewati lantai 11 dan tombol ke lantai atas yang tidak bisa berfungsi menyebabkan pegawai harus turun menggunakan tangga manual dikarenakan terdapat agenda penting salah satu contohnya adalah meeting bersama pimpinan di Kantor BNI lainnya
2. Selanjutnya, berdasarkan pengalaman Pegawai an. Ibu Adelia, sering terjadinya penumpukan lift di lantai GF membuat pegawai bekerja dari kafe dikarenakan waktu menunggu lift memakan waktu sedangkan terdapat agenda pekerjaan yang harus dikerjakan secara online maupun on-site
3. Tombol atas yang tidak berfungsi berdasarkan pengamatan kami hanya terjadi di lantai 11 dan tidak terjadi di lantai lain sehingga diharapkan adanya perlakuan akses lift yang setara antar lantai

Penumpukan pegawai sering terjadi pada jam-jam kritis seperti (jam makan siang, menjelang waktu salat Jumat dan jam pulang kerja) sehingga waktu tunggu lift menjadi lebih lama sedangkan kepentingan setiap pegawai berbeda beda (contoh: ingin makan siang, ingin rapat di kantor BNI lain, pengiriman dokumen, dsb)

Kondisi-kondisi tersebut lah menyebabkan mobilitas karyawan dan pimpinan terganggu

Secara garis besar, berikut merupakan kesimpulan atas saran dan masukan kami bahwa:
1. Permasalahan utama yang dibahas adalah kendala operasional lift, khususnya pada akses dari lantai 11 menuju lantai atas yang tombolnya tidak berfungsi serta kondisi lift yang kerap melewati lantai 11. Sehingga diharapkan terdapat solusi operasional yang tidak menghambat aktivitas kerja
2. Lift dapat dimapping ulang berdasarkan kepadatan setiap lantai masing-masing agar tidak terjadi penumpukan yang berlebihan 
3. Lift yang sedang diperbaiki agar dapat dibuka secepatnya agar dapat membantu mobilitas pegawai
4. Diharapkan adanya perlakuan akses lift yang setara antar lantai",Negative,Lift Sarinah_05-03-2026_013544.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,AREA OFFICE,SARINAH-THAMRIN-LIFT 4 - OFFICE-01,2026-03-04,7287e149-c4be-455e-9366-633cd34798da,Completed,,64967,New,Neutral,3,Neutral,,Antri,Neutral,Lift Sarinah_05-03-2026_013544.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,AREA OFFICE,SARINAH-THAMRIN-LIFT 3 - OFFICE-01,2025-09-09,092654b0-116b-4960-b14c-bfb987659f0e,Completed,,172712,New,Satisfied,5,Satisfied,,test-ok,Neutral,Lift Sarinah_15-01-2026_170128.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,AREA MALL,SARINAH-THAMRIN-LIFT 1 - MALL-01,2026-02-25,e5e39b90-680a-446f-ae4f-408eabf0adbc,Completed,,134323,New,Not Satisfied,2,Dissatisfied,,Apabila ada nya vendor yang menggunakan multi lantai seharusnya diberikan lift terpisah dan Seluruh vendor seharusnya mendapatkan fasilitas yang sama baik akses naik ataupun turun,Neutral,Lift Sarinah_25-02-2026_170130.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2026-06-03,7051e1b5-4e9c-4054-be92-f3e5bffb1572,Completed,,16527,New,Satisfied,5,Satisfied,,Testing,Neutral,Musholla Sarinah_04-06-2026_013750.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2026-02-10,1b7bf8e3-a2c4-43aa-8eaa-75e9d029d7de,Completed,,117477,New,Not Satisfied,2,Dissatisfied,,AC nya tolong jangan dingin dingin banget. Airnya klo bisa Ada penghangat buat wudu. Saya kedinginan,Negative,Musholla Sarinah_10-02-2026_170135.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2026-07-13,1cbd8e9c-23e8-44f5-ba7b-5dc6aa0a99be,Completed,,28033,New,Satisfied,5,Satisfied,,Tambahkan pengharum ruangan,Neutral,Musholla Sarinah_14-07-2026_013746.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2025-12-31,0b07413b-8721-4694-ba2b-bd7955fc08f4,Completed,,129829,New,Satisfied,5,Satisfied,,Terima kasih sudah menyediakan fasilitas yang nyaman untuk beribadah,Positive,Musholla Sarinah_15-01-2026_170131.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2025-12-02,47c50f92-732f-4042-9bd1-555b14410075,Completed,,324123,New,Neutral,3,Neutral,,mohon ada nya imam tetap di setiap sholat dr dzuhur smp isya...terima kasih,Positive,Musholla Sarinah_15-01-2026_170131.csv
3,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2025-11-18,4e9a8a2b-a72e-418f-bf23-66ffc1aed922,Completed,,36226,New,Satisfied,4,Satisfied,,Baik,Neutral,Musholla Sarinah_15-01-2026_170131.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2026-02-18,81be0492-916f-4508-b08f-8548a4acd52d,Completed,,921738,New,Satisfied,5,Satisfied,,"Sedikit masukan saat penyelenggaraan sholat Jumat. 

Kalau bisa untuk pengumuman sebelum sholat Jumat (saldo infaq, waktu dzuhur, imam dan khatib yang mengisi sholat Jumat, dsb) diadakan sebelum waktu dzuhur. Jadi saat sudah masuk waktu dzuhur bisa langsung adzan dilanjutkan khatib naik mimbar.

Di sholat Jumat yang sebelum2-nya, pengumuman baru diadakan saat waktu dzuhur. Jadi misalnya dzuhur jam 12.07, pengurus mushola baru menyampaikan pengumuman, dilanjutkan adzan pertama, sholat sunah, khatib naik mimbar, adzan pertama, dan khotbah Jumat baru dimulai jam 12.20. Rangkaian sholat Jumat baru selesai jam 12.40. 

Beberapa karyawan kantor yag sholat Jumat waktu istirahatnya jadi terbatas. Mungkin bisa dipertimbangkan agar pengumuman2 dari pengurus mushola bisa diadakan sebelum masuk waktu adzan dzuhur. Karena biasanya sebelum jam 11.50 mushola pun sudah penuh. Terima kasih.",Neutral,Musholla Sarinah_18-02-2026_170131.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,MUSHOLLA,SARINAH-THAMRIN-MUSHOLLA-01,2026-01-20,8ccd4a8c-961a-455b-a42e-f3b6ab673b80,Completed,,121405,New,Satisfied,5,Satisfied,,"sangat nyaman dan bersih, dan orang dipenitipan sangat ramah",Positive,Musholla Sarinah_20-01-2026_170129.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - M-01,2025-11-28,d2e2320e-62bd-43dd-a6e0-317470cf2c8e,Completed,,166206,New,Satisfied,5,Satisfied,,Sangat bagus serta karyawannya baik2,Positive,Toilet Sarinah.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT 1 - M-01,2026-05-04,9bf19943-8f9c-4a42-8ace-3ae1300f9c75,Completed,,90501,New,Not Satisfied,2,Dissatisfied,,"Lantai 2 jam 19.27 untuk tisu towel nya habis...sedangkan crew cleaning standbay...
Mohon di perbaiki kepedulian nya...terima kasih",Negative,Toilet Sarinah_04-05-2026_170132.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - M-01,2026-04-07,5048201c-de4d-45f0-a4f5-ac2d119eb02f,Completed,,300809,New,Not Satisfied,2,Dissatisfied,,"Urinoir pada lantai LG, yang berfungsi dengan baik hanya 2 urinoir sebelah dari kanan, sisanya artinya ada 3 urinoir terlalu kecil penyiraman air nya.",Negative,Toilet Sarinah_07-04-2026_170109.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - M-01,2026-06-07,9b40946a-6d6f-4313-8b82-0b6b0f3142d1,Completed,,273003,New,Satisfied,5,Satisfied,,sangat rapi & bersi tertata dg baik lantai juga kering,Positive,Toilet Sarinah_07-06-2026_170116.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - F-01,2026-03-11,93ed1c65-fa47-4bd0-a636-b85295e9501c,Completed,,214033,New,Satisfied,5,Satisfied,,Bersih dan wangi,Positive,Toilet Sarinah_11-03-2026_170109.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - M-01,2026-05-14,cd9fd063-9941-4cb1-b5fb-23cb438da9fd,Completed,,25877,New,Satisfied,4,Satisfied,,Baikk bagusss,Positive,Toilet Sarinah_14-05-2026_170125.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - M-01,2026-05-14,2686cef9-de78-4adf-a554-9b419e37b5ca,Completed,,54145,New,Satisfied,4,Satisfied,,"Toilet pelayanan bagus,wangi,dan nyaman",Positive,Toilet Sarinah_14-05-2026_170125.csv
3,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - F-01,2026-05-14,7f920bf0-f146-4979-be81-20e57449e7c6,Completed,,26685,New,Satisfied,5,Satisfied,,,,Toilet Sarinah_14-05-2026_170125.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - F-01,2026-01-15,22c6f6f1-3cdf-4f76-ae41-3cf765306921,Completed,,117667,New,Neutral,3,Neutral,,"Bukan toilet, tapi ruang laktasi. Tolong diberikan kunci pintunya. Saya tadi pumping sangat tidak tenang karena takut ada yg buka dari luar",Negative,Toilet Sarinah_15-01-2026_170130.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - F-01,2026-01-06,9764ca19-10d8-4a55-83a3-7622edde8399,Completed,,304117,New,Satisfied,5,Satisfied,,,,Toilet Sarinah_15-01-2026_170130.csv
3,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - M-01,2026-01-03,455f9197-42e4-4711-929f-70145cec7996,Completed,,37876,New,Not Satisfied,1,Dissatisfied,,Cleaning service teriak teriak menggangu kenyamanan customer,Negative,Toilet Sarinah_15-01-2026_170130.csv
4,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - F-01,2025-12-21,0340e2a0-ecf1-4116-ba68-2f77016401cd,Completed,,102686,New,Not Satisfied,1,Dissatisfied,,"air di shower jet nya kecil banget , bener2 ga bisa buat bersihin sehabis buang air",Negative,Toilet Sarinah_15-01-2026_170130.csv
5,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - M-01,2025-12-17,3d584de7-ca7f-4a9e-9b53-661d47174c35,Completed,,148518,New,Not Satisfied,1,Dissatisfied,,PINTU TOILETNYA DI LANTAI BAWAH DIBENERIN DONG ITU PINTU HAMPIR KEBUKA PAS SY LG BAB,Negative,Toilet Sarinah_15-01-2026_170130.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - F-01,2026-01-19,20532cba-11ba-46f6-9a4b-e9bf15d9ec0e,Completed,,250479,New,Neutral,3,Neutral,,"Tempat sabun cuci tangannya kurang bagus, susah untuk di gunakan",Negative,Toilet Sarinah_19-01-2026_170131.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET (FEMALE)-01,2026-05-20,57b62c79-1f93-48d7-ae1e-3797ee59bd14,Completed,,86510,New,Not Satisfied,1,Dissatisfied,,Toilet isinya kecoak semua 😭,Negative,Toilet Sarinah_20-05-2026_170125.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - M-01,2026-06-20,03814bd9-1629-4fb9-a71b-2cff2c571f95,Completed,,204513,New,Satisfied,5,Satisfied,,,,Toilet Sarinah_20-06-2026_170120.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - F-01,2026-01-21,9ba522d9-0565-4b00-a2e5-09b753e707bf,Completed,,138055,New,Satisfied,5,Satisfied,,mba mba yang di toilet GF sangat ramah & bersih.,Positive,Toilet Sarinah_21-01-2026_170136.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT G - M-01,2026-01-24,dc84670c-f572-41fa-ac19-361aa01252b4,Completed,,332415,New,Satisfied,4,Satisfied,,"kalau ada anggaran beli toilet duduk cowok yg besar, agar kemaluan saya muat buat ditekuk. terima kasih :)",,Toilet Sarinah_24-01-2026_170133.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,TOILET,SARINAH-THAMRIN-TOILET LT B - M-01,2026-06-24,e8ba9512-40f3-47c2-bb6b-c0b568de041c,Completed,,73485,New,Satisfied,5,Satisfied,,Sirkulasi udara terasa kurang nyaman,Negative,Toilet Sarinah_24-06-2026_170115.csv
