"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"654","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","5","Luar biasa","5","5","5","9a6f5189-79e4-406d-a517-7baadf8cf7e2"
"655","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-1 PRIA","API&IAS-TOILET-CGK T2-BL D1 TP","5","Toilet nya bersih wangi","5","5","5","d95f778e-cec8-4ed2-aafb-b6015e8aba5d"
"656","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","Pertahankan kinerja baiknya","5","5","5","25b52287-1022-44ae-9be9-9ae10f5f09e1"
"657","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","Excellent","5","5","5","ef8682c6-c3aa-4aee-ab03-c1a7977784cd"
"658","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 PRIA","B. BL2. P","4","Bekas sepatu waktu pagi banyak","4","3","3","c512cf03-c327-4887-b7a7-3f5e0e859c2d"
"659","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 5-6 (PRIA)","DPS-TOILET-DD04-P","1","bau banget","5","3","4","498ad97f-469c-453d-ad80-08f3785a8e11"
"660","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-2 PRIA","A.BL2.P","5","Fasilitas toiletnya bersih dan nyaman digunakan","5","5","5","e0ee251c-ba6d-47b1-9dce-55e7e879fb43"
"661","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W","3","Akan lebih baik toilet nya di perbanyak lagi di terminal 1B","4","4","4","5d4b30d9-bfe6-4097-a328-6b6043657052"
"662","API dan IAS","DPS","2","TOILET KEBERANGKATAN INTERNASIONAL AKSES KARYAWAN (WANITA + DIFABLE)","DPS-TOILET-3D-W","1","Toilet di penuhi kecoa","3","1","1","1bb132d1-b763-4b47-ae15-05b00bc40061"
"663","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (PRIA)","DPS-TOILET-DD01-P","5","Toilet bersih ,harum dan petugasnya ramah,terima kasih","5","5","5","19208aa0-1854-42b9-b3d5-97d3ee26acc2"
"664","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW","5","Petugas Ramah","5","5","5","8f79ec58-a2ef-4f18-8cd2-429baba60d87"
"665","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-1 PRIA","API&IAS-TOILET-CGK T2-BL D1 TP","5","Petugas toilet sangat ramah","5","5","5","c12f029f-affa-4bf0-b941-ea1d9aa7aad7"
"666","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-5 WANITA","A.BL5.W","1","Kotor, ada ulat kecil berwarna hitam di lantai, tidak ada petugas kebersihan","1","3","1","043d0d74-fa78-4c2a-aacb-2413fde9e0f9"
"667","API dan IAS","CGK T1","1","TOILET T1A - CURBSIDE WANITA","A. PCI. W","5",,"5","5","5","b58a2710-0c4a-4836-943d-c9c460ae0012"
"668","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","2","Di terminal 1A Pertama ke toilet tgl 6 Oktober 2025, hari ini 30 Oktober 2025 ke toilet lagi, untuk buang air kecil, kejadiannya sama tidak ada air di urinor, kebersihan toilet juga masih kurang, jauh dibandingkan dengan toilet dibandara Kualanamu","3","2","3","45af07bb-18b1-4a3e-a2f4-6e3a5b8ac611"
"669","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W","5","Sangat Bersih dan ramah penjaganya..pertahankan","5","5","5","86b728f2-b17a-4a11-b0be-25513a311baa"
"670","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","Bersih","5","5","5","927cdd4a-9b15-48d4-8512-da269afe39c9"
"671","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-2 PRIA","A.BL2.P","5","Ramah","5","5","5","c3452f4b-ff5b-434e-b23a-0734ca2a5458"
"672","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W","5",,"5","5","5","64c29001-d24d-416f-8410-af68f87a49d8"
"673","API dan IAS","CGK T1","1","TOILET T1A - CORRIDOR ARRIVAL PRIA","A.CCA.P","4","Tempat urin otomatis","4","5","3","d485291f-12ce-44ae-a658-bbe208b9d39c"
"674","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P","5","Toilet bersih petugas sopan","5","5","5","3fc383ea-7099-4bf2-b745-473b57d3caab"
"675","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","4","Tolong pintu mushola diberi pembatas semacam tirai supaya orang yang lagi solat tidak tampak menyatu dengan toilet","5","5","5","e3251bdd-a220-43f4-887f-2c84b5032c81"
"676","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","3","Tidak ada petugas yang standby membersihkan","3","3","4","9c74b9c0-b3e5-4d9e-886e-c9601324e7ce"
"677","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-4 PRIA","A.BL4.P","4","Bagus, ramah","5","5","5","70bed40e-f946-4c0b-a162-7d6b0ceeecdf"
"678","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-3 PRIA","B. BL3. P","5","Sangat baik terjaga kebersihan nya, pertahankan, kalu bisa karpet musholanya di ganti yg baru yg lebih soft","5","5","5","ce9de11d-0c1c-4bf6-b915-fabb5b0ff65f"
"679","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-4 PRIA","B. BL4. P","4","Tisu habis","3","4","4","aff85014-65a6-418e-b296-c16dbb52f020"
"680","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5",,"5","5","5","a0859d9a-def5-459c-8143-3ee748c25fbf"
"681","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-6 WANITA","A.BL6.W","5","Staf ramah toilet bersih nyaman","5","5","5","a13315d8-726a-467b-8bd3-09b7cfa1dfee"
"682","API dan IAS","CGK T1","1","TOILET T1A - PARKING WANITA","Toilet Parkir A - Wanita","2","Toilet kotor,saya masuk jam 06.38 tp sampah tisu bertebaran
Dan bau sekali toiletnya","3","2","2","f95743b5-2b99-42e5-a04d-9cce1e8cb527"
"683","API dan IAS","CGK T1","1","TOILET T1A - CURBSIDE WANITA","A. PCI. W","4","Tambah petugas dong..","5","5","4","67fc8246-2483-4ada-98e4-8ea04f7b7bce"
"684","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","Jalan, tempat wudlu dan toilet sempit.
Mungkin tempat toilet laki2 cukup urinoir dibuat 2 jadi jalan dan tempat sandal bisa agak lebar","5","4","4","d6d7f100-45f5-45d0-b96d-dec4c652baf7"
"685","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","Mantap","5","5","5","dbb4c95f-cb84-4d51-be33-fa03df8e70f1"
"686","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","Utk yg buat kencing berdiri baiknya dikasih penahan cipratan semua","5","5","5","ee8d728b-23bd-406d-bf43-cb7548a852cd"
"687","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN PRIA","A. HCI. P","5","Pertahankan","5","5","5","0da448e7-186f-421c-8086-46307201d357"
"688","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-1 WANITA","API&IAS-TOILET-CGK T2-BL D1 TW","5","Pertahankan yg sudah baik","5","5","5","16f1cc86-383c-483c-b38b-273784d4ab85"
"689","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W","5","Ok","5","5","5","b156fd15-5ce0-4e34-9b9c-149230df2f1a"
"690","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","3","Terlalu dekat dengan toilet, khususnya toilet pria","4","2","2","43fce671-c0c8-4185-8fc0-7d3c4885464d"
"691","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN PRIA","A. HCI. P","1","toilet bocor","4","1","1","fe757d28-b4ce-4af7-b394-7910660dc7d4"
"692","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN PRIA","A. HCI. P","5","Saya merasa puasa karena kebersihannya,tata letak tisduenya rapi,dan tempat sampah juga rapi dan bersih serta wangi","5","5","5","8e0d622a-9107-42a7-8253-d1fdade93c94"
"693","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 WANITA","B. BL2. W","5","Excellent","5","5","5","53124bda-3b65-4d0f-95a1-649a372d4f2f"
"694","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN WANITA","B. HCI. W","5",,"5","5","5","c1be416a-22fb-4ea1-b6f2-17f6399edde6"
"695","API dan IAS","CGK T1","1","TOILET T1A - CORRIDOR AFTER SCP PRIA","CCD. A1. P","5",,"5","5","5","cd149cec-ff22-4e91-92bb-2b9bca5a50dd"
"696","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-7 WANITA","B. BL7. W","4",,"4","4","4","e69aeb01-6f86-4e1e-89a8-ab1c69fd4f86"
"697","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-4 PRIA","B. BL4. P","5","Sudah bagus sampai bingung melihat ruang pervaikannya. Pertahankan dan semoga naik GAJI-nya biar lebih semangat untuk petugasnya","5","5","5","82e1d62e-9f9a-405b-884c-4b39de0972de"
"698","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-7 WANITA","B. BL7. W","5","Need parfume inside","5","5","5","29bd3292-5dd3-444f-a081-c1befa5e4e7c"
"699","API dan IAS","CGK T1","1","TOILET T1A - CORRIDOR AFTER SCP PRIA","CCD. A1. P","5","Bersih wangi","5","5","5","b6b990e8-58e8-49b2-afd3-fbfd263552fe"
"700","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-3 PRIA","B. BL3. P","5","bersih dan tidak berbau","5","5","5","45a75ffb-edc1-484a-b86e-9182d3dc4201"
"701","API dan IAS","CGK T1","1","TOILET T1B - ARRIVAL CORRIDOR PRIA","B. CCA. P","5","Tidak ada saran atau masukan, cukup pertahankan pelayannya.","5","5","5","fa03ad0a-2a9d-4d7c-a23d-099a1253f10a"
"702","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN PRIA","A. HCI. P","4","Untuk soap dispensernya agak macet, perlu diketuk-ketuk untuk dpt berjalan","5","5","5","9bff6555-bc49-48a8-8272-06c7117d7a95"
"703","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","4","Musholla nya agar d perluas ya","5","5","4","744d2a19-9951-4990-a9be-5b7b68f9171e"
"704","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-5 PRIA","B. BL5. P","5","Sangat Bersih, Pertahankan","5","5","5","0bcbe80e-83b0-48de-a730-6e4f0eb8942b"
"705","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","5",,"5","5","5","7e043a45-61d3-42d9-9ee1-03ac6e29b077"
"706","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-2 PRIA","A.BL2.P","5","toiletnya bersih","5","5","5","dc4c04d1-d824-41dc-8d40-c16f7af6b595"
"707","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-1 PRIA","A.BL1.P","5","Good","5","5","5","0a2318b3-b5ad-4ec8-9e5b-68220946327b"
"708","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-7 WANITA","B. BL7. W","5","keep up the good work (being consistent at all times)","5","5","5","06eacc7f-e9a8-4852-ae25-2f47099acd0b"
"709","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-1 PRIA","B. BL1. P","5","Bersih dan nyaman","5","5","5","f8643b2f-5bd0-48e6-bbf2-8749369c0d6a"
"710","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 PRIA","B. BL2. P","5","Petugas sangat ramah dan inisiatif.
Tambahkan Hak nya ya","5","5","5","f53e309d-71b4-4824-b15e-29368bc9990d"
"711","API dan IAS","CGK T1","1","TOILET T1A - PARKING WANITA","Toilet Parkir A - Wanita","5","Toilet Bersih","5","5","5","636f3b1d-e972-4efa-add1-b8a57076926e"
"712","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-5 WANITA","B. BL5. W","5","announcement nya gak kedengeran di toilet","5","5","5","81c0aef2-cf93-4cc9-b2e8-e6061ed48a31"
"713","API dan IAS","CGK T1","1","TOILET T1B - PARKIR PRIA","Toilet Parkir B - Pria","1","Toilet didekat pintu keluar kantin T1 mampet saluran pembuangan airnya & keran wastafel nya rusak","3","1","1","439f3c6d-c2db-459f-9438-2335e5c35ea4"
"714","API dan IAS","CGK T1","1","TOILET T1A - CORRIDOR ARRIVAL WANITA","A.CCA.W","4","Toiletnya bagus","4","5","3","36b3d052-35f4-4aea-838c-46eb0bdd3af3"
"715","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-3 WANITA","B. BL3. W","5",,"5","5","5","0cae1b03-d704-41a7-97e0-824b6846782e"
"716","API dan IAS","CGK T1","1","TOILET T1A - PARKING WANITA","Toilet Parkir A - Wanita","5","Toilet nya bersih gak becek di padahal posisinya di parkiran terus petugas nya ramah banget.","5","5","5","c4678103-bd7d-4959-b0aa-9841f4abad71"
"717","API dan IAS","CGK T1","1","TOILET T1B - ARRIVAL CORRIDOR WANITA","B. CCA. W","5","Sangat bagus","5","5","5","456f9cb8-417b-4cc1-9fe6-774dfca7084e"
"718","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P","5","Bersih","5","5","5","41c367b5-420d-4612-b948-ba0e570e493d"
"719","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","Sangat bersih","5","5","5","4d006646-666d-40ba-9b95-3535b015a73f"
"720","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-5 PRIA","A.BL5.P","5","Good","5","5","5","77546da6-e7dc-41e4-9927-54e7d78dbfe1"
"721","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P","5","Tinggal dipertahankan jgn sampai menurun","5","5","5","02bead0a-0a0e-4369-b5bd-da230896ec63"
"722","API dan IAS","CGK T1","1","TOILET T1A - PARKING PRIA","Toilet Parkir A - Pria","5","Bau pesing","5","3","5","868526aa-e652-45f6-9b07-d32582b2d68e"
"723","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","1","Toilet nya diperhatikan lagi, mampet semua di toilet gate A3","5","4","1","086761a4-8a64-4b17-b7be-e46038c40050"
"724","API dan IAS","CGK T1","1","TOILET T1B - CURBSIDE WANITA","B. PCI. W","5","-","5","5","5","4f34a3b5-2a8f-4365-8657-25551f718e2c"
"725","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-2 WANITA","A.BL2.W","5","Bersih","5","5","5","a1c31584-d664-4cfa-95de-6126d7a15f2a"
"726","API dan IAS","CGK T1","1","TOILET T1A - PARKING PRIA","Toilet Parkir A - Pria","5",,"5","5","5","d65337ea-34a9-45a7-9a21-1c37fb3f3b22"
"727","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-5 PRIA","A.BL5.P","5","Sistem otomatis buat sabun dan keran nya mungkin bisa ditingkatkan, overall bagus kok","5","5","5","f919d990-0411-41c5-90dd-d5d0808cc140"
"728","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","Sudah sangat sempurna","5","5","5","c033f72e-2dd2-4f22-92ac-7fb7a919d885"
"729","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP WANITA","CCD. B2","5","Good Oke","5","5","5","6e0d1347-79e4-4069-afe1-a0f4e019f632"
"730","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","3","Perlu ditingkatkan kebersihannya,terutama airnya yg kuning","5","5","4","396a3e31-39c1-4a1b-aaeb-5f2b96e1853f"
"731","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","4","Bagus","5","5","5","07ac56ac-3a0f-42ef-a9a2-c2fafb7b80a5"
"732","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-6 PRIA","A.BL6.P","5","Bersih banget","5","5","5","a96533ae-005d-4e1e-bc74-06b088bc1123"
"733","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","Terbaik dan mantap","5","5","5","47c44846-7990-4947-91e4-2ac52a6d89f7"
"734","API dan IAS","CGK T1","1","TOILET T1B - CURBSIDE PRIA","B. PCO. P","5","Tpt buang air laki laki sebagusnya semuanya diberi capper urinal. Agar tidak ada percikan ygengenai pakaian khusu utk keperluan sholat","5","4","5","20d02922-e294-46b2-88af-5233cd58d029"
"735","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P","5","Toilet Wangi dan petugas ramah","5","5","5","ac198373-8349-4338-98ea-0ba8f6f848dd"
"736","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-4 PRIA","A.BL4.P","3","toiletnya bau dan kurang bersih. air di siraman toilet berwarna keruh","4","3","3","e5eda635-1fb9-4b26-8b33-c6a30a147d3c"
"737","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP WANITA","CCD. B2","5",,"5","5","5","4ae76ddc-f980-4297-abc5-2c06944e4162"
"738","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP WANITA","CCD. B2","5","Toiletnya bersih sekali, mba yg jaga ramah sekali","5","5","5","9bf68846-dff7-4963-a6a9-aaeae46ec3b8"
"739","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","Terima kasih untuk Kebersihan Toilet dan Keramahan Semua Stafnya 😇🙏🏻","5","5","5","1c0126a3-d34c-4d9d-961f-8891589db49a"
"740","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","Bersih","5","5","5","026d3e49-b2e2-4094-81c2-67e1260db506"
"741","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM WANITA","B.HCO.W","4","toilet bersih, perugas toilet ramah","5","5","5","d751425b-0013-4da4-85d2-ac79e232a18e"
"742","API dan IAS","CGK T1","1","TOILET T1A - CURBSIDE PRIA","A. PCO. P","5","Sangat puas dan nyaman","5","5","5","cd5108ad-3989-46ee-96ae-c3d2fe073e82"
"743","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-3 PRIA","A.BL3.P","5",,"5","5","5","aa19cdea-0cd4-4ffc-8eff-c4ee3eecc5ef"
"744","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P","5","Ok","5","5","5","4558281a-2148-4fed-b0d0-079b67cd0e1d"
